##########################################################################
# N.B.: line starting with # is a comment
#
# Content:
# --------
# Solar System Abundances for all isotopes and Elements
#
# Source:
# -------
# Lodders, ApJ 591, 1220 (2003)
# http://adsabs.harvard.edu/abs/2003ApJ...591.1220L
# Solar System Abundances and Condensation Temperatures of the Elements
#
# Format:
# -------
# A line starting with "-->" provides the total elemental abundance
#   Col1: CR name
#   Col2: Isotopic fraction of abundance
#   Col3: Abundance (relative to Si = 1.e6)
##########################################################################

  2H-bar    0.  	0.
  1H-bar    0.    0.
  H-bar  100      0.
  1H    99.99806 	2.431e10
  2H    0.00194  	4.716e5
-->      100      2.431e10
  3He   0.016597  3.889e5
  4He   99.983403 2.343e9
-->      100      2.343e9
  6Li   7.589    	4.21
  7Li   92.411   	51.26
-->      100      55.47
  9Be   100      	0.7374
 10B    19.82    	3.433
 11B    80.18    	13.887
-->      100      17.32
 12C    98.8922  	7.001e6
 13C    1.1078   	78420
-->      100      7.079e6
 14N    99.6337  	1.943e6
 15N    0.3663   	7143
-->      100      1.950e6
 16O    99.7628  	1.410e7
 17O    0.0372   	5260
 18O    0.20004  	28270
-->      100      1.413e7
 19F    100      	841.1
 20Ne   92.9431   1.996e6
 21Ne   0.2228    4786
 22Ne   6.8341    1.468e5
-->      100      2.148e6
 23Na   100       57510
 24Mg   78.992    8.057e5
 25Mg   10.003    1.020e5
 26Mg   11.005    1.123e5
-->      100      1.020e6
 27Al   100       84100
 28Si   92.22968  9.2230e5
 29Si   4.68316   46830
 30Si   3.08716   30870
-->      100      1.000e6
 31P    100       8373
 32S    95.018    4.227e5
 33S    0.75      3340
 34S    4.215     18750
 36S    0.017     76
-->      100      4.449e5
 35Cl   75.771    3968
 37Cl   24.229    1269
-->      100      5237
 36Ar   84.5946   86710
 38Ar   15.3808   15765
 40Ar   0.0246    25
-->      100      102500
 39K    93.25811  3443
 40K    0.011672  0.431
 41K    6.73022   248.5
-->      100      3692
 40Ca   96.941    60947
 42Ca   0.647     407
 43Ca   0.135     84.9
 44Ca   2.086     1311
 46Ca   0.004     2.5
 48Ca   0.187     118
-->      100      62870
 45Sc   100       34.20
 46Ti   8.249     200
 47Ti   7.437     180
 48Ti   73.72     1785
 49Ti   5.409     131
 50Ti   5.185     126
-->      100      2422
 50V    0.2497    0.720
 51V    99.7503   287.68
-->      100      288.4
 50Cr   4.3452    559
 52Cr   83.7895   10775
 53Cr   9.5006    1222
 54Cr   2.3647    304
-->      100      12860
 55Mn   100       9168
 54Fe   5.845     48980
 56Fe   91.754    768900
 57Fe   2.119     17760
 58Fe   0.282     2360
-->      100      838000
 59Co   100       2323
 58Ni   68.0769   32541
 60Ni   26.2231   12532
 61Ni   1.1399    545
 62Ni   3.6345    1737
 64Ni   0.9256    442
-->      100      47800
 63Cu   69.174    364.5
 65Cu   30.826    162.5
-->      100      527.0
 64Zn   48.63     596
